system   D            wsystem.c:583  maybe_parent_dir                 [   0.00021] Also searching F:\University\C++\Level5\Space-Invaders\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00035] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00036] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00365] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.18572] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.18574] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.18637] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.18638] al_display=036E69C8
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.18639] al_display->vt=035158D0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.18963] found 160 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.18965] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18965] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18966] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18966] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18967] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18967] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18967] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18968] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18968] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18969] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18969] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18969] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18970] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18970] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18970] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18971] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18971] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18972] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18972] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18972] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18973] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18973] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18973] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18977] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18977] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18977] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18978] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18978] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18979] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18979] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18979] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18980] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18980] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18980] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18981] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18981] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18981] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18982] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18982] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18983] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18983] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18983] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18984] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18984] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18984] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18985] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18985] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18986] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18986] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18986] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18987] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18987] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18987] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18988] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18988] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18988] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18989] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18990] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18990] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18990] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18991] Score is : 897
